Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
Seward County Community College and Area Technical School	Liberal	KS	1268	7.97142857142857	27900	3500	NA	NA
Florida Institute of Technology	Melbourne	FL	5225	7.91578947368421	37600	4750	1137	0.5737
Oconee Fall Line Technical College	Sandersville	GA	1628	7.82222222222222	17600	2250	NA	NA
Quinsigamond Community College	Worcester	MA	7921	7.82172373081464	26500	3388	NA	NA
Labette Community College	Parsons	KS	1047	7.8	27300	3500	NA	NA
Lake Land College	Mattoon	IL	5418	7.72277227722772	23400	3030	NA	NA
Gallia Jackson Vinton Joint Vocational School District	Rio Grande	OH	170	7.68571428571429	26900	3500	NA	NA
City Colleges of Chicago-Wilbur Wright College	Chicago	IL	9542	7.63076923076923	24800	3250	NA	NA
Antonelli Medical and Professional Institute	Pottstown	PA	123	7.62857142857143	26700	3500	NA	0.5461
Sauk Valley Community College	Dixon	IL	2129	7.6	22800	3000	NA	NA
Salina Area Technical College	Salina	KS	324	7.51748251748252	30100	4004	NA	NA
Oakton Community College	Des Plaines	IL	10485	7.51428571428571	26300	3500	NA	NA
Lewis and Clark Community College	Godfrey	IL	5111	7.48626373626374	21800	2912	NA	NA
Tri-State Cosmetology Institute 1	El Paso	TX	241	7.43756786102063	13700	1842	NA	NA
Panola College	Carthage	TX	2560	7.4	25900	3500	NA	NA
Volunteer State Community College	Gallatin	TN	7217	7.37142857142857	25800	3500	890	1
Honolulu Community College	Honolulu	HI	3570	7.34285714285714	25700	3500	NA	NA
North Georgia Technical College	Clarkesville	GA	2493	7.30909090909091	20100	2750	NA	NA
Ashford University	Clinton	IA	66864	7.26315789473684	34500	4750	951	0.9004
Pratt Community College	Pratt	KS	883	7.22352941176471	30700	4250	NA	NA
Brazosport College	Lake Jackson	TX	3142	7.2	25200	3500	NA	NA
Chandler/Gilbert Community College	Chandler	AZ	11866	7.19684151156232	31900	4432.5	NA	NA
Springfield Technical Community College	Springfield	MA	6353	7.17142857142857	25100	3500	NA	NA
Mount Wachusett Community College	Gardner	MA	4276	7.10562414266118	25900	3645	NA	NA
West Georgia Technical College	Waco	GA	6856	7.10269310446878	24000	3379	NA	NA
Jefferson State Community College	Birmingham	AL	8444	7.05714285714286	24700	3500	NA	NA
Tarrant County College District	Fort Worth	TX	45102	7.04004187385501	26900	3821	NA	NA
Massachusetts Bay Community College	Wellesley Hills	MA	4647	7.02222222222222	31600	4500	NA	NA
Delaware Technical Community College-Owens	Georgetown	DE	4311	6.97142857142857	24400	3500	NA	NA
Florida Gateway College	Lake City	FL	2371	6.94285714285714	24300	3500	NA	NA
Metropolitan Community College Area	Omaha	NE	6643	6.94285714285714	24300	3500	NA	NA
Rio Salado College	Tempe	AZ	12135	6.92631578947368	32900	4750	NA	NA
Illinois Eastern Community Colleges-Wabash Valley College	Mount Carmel	IL	1059	6.92307692307692	22500	3250	NA	NA
Grossmont College	El Cajon	CA	17812	6.91428571428571	24200	3500	NA	NA
College of Lake County	Grayslake	IL	12497	6.89203354297694	26300	3816	NA	NA
Southwestern Illinois College	Belleville	IL	10870	6.8817912413566	20900	3037	NA	NA
Savannah Technical College	Savannah	GA	4487	6.72212978369384	20200	3005	NA	NA
Cerritos College	Norwalk	CA	19939	6.71428571428571	23500	3500	NA	NA
Del Mar College	Corpus Christi	TX	12071	6.68571428571429	23400	3500	NA	NA
Los Angeles County College of Nursing and Allied Health	Los Angeles	CA	231	6.62457912457912	78700	11880	NA	NA
Lorain County Joint Vocational School District	Oberlin	OH	157	6.6143034311699	16000	2419	NA	NA
MiraCosta College	Oceanside	CA	13413	6.6	23100	3500	NA	NA
Spartanburg Community College	Spartanburg	SC	5393	6.6	23100	3500	NA	NA
College of the Mainland	Texas City	TX	4168	6.57142857142857	23000	3500	NA	NA
Allen County Community College	Iola	KS	2784	6.56992084432718	24900	3790	NA	NA
University of Maryland-Baltimore	Baltimore	MD	723	6.55813953488372	70500	10750	NA	NA
Central Community College	Grand Island	NE	4822	6.55307994757536	25000	3815	NA	NA
Dyersburg State Community College	Dyersburg	TN	2943	6.54285714285714	22900	3500	1010	1
Central California School	San Luis Obispo	CA	320	6.54245183146305	30900	4723	NA	NA
North Shore Community College	Danvers	MA	7286	6.525	26100	4000	NA	NA
Alice Lloyd College	Pippa Passes	KY	575	6.51360119790367	26100	4007	991	0.3338
Northwestern Health Sciences University	Bloomington	MN	122	6.50574712643678	28300	4350	NA	0.5556
Carl Sandburg College	Galesburg	IL	1902	6.45714285714286	22600	3500	NA	NA
Holmes Community College	Goodman	MS	6494	6.42857142857143	22500	3500	NA	NA
College of San Mateo	San Mateo	CA	8900	6.42222222222222	28900	4500	NA	NA
County College of Morris	Randolph	NJ	7470	6.42222222222222	28900	4500	NA	NA
Centro de Estudios Multidisciplinarios-San Juan	San Juan	PR	1516	6.41666666666667	15400	2400	NA	NA
Centro de Estudios Multidisciplinarios-Humacao	Humacao	PR	905	6.41666666666667	15400	2400	NA	NA
Centro de Estudios Multidisciplinarios-Bayamón	Bayamón	PR	820	6.41666666666667	15400	2400	NA	NA
Carnegie Institute	Troy	MI	290	6.39427516158818	27700	4332	NA	NA
Veeb Nassau County School of Practical Nursing	Uniondale	NY	198	6.37333333333333	47800	7500	NA	NA
Rock Valley College	Rockford	IL	7483	6.37142857142857	22300	3500	NA	NA
Alvin Community College	Alvin	TX	4046	6.35555555555556	28600	4500	NA	NA
Motlow State Community College	Tullahoma	TN	4167	6.34285714285714	22200	3500	910	0.3955
Kauai Community College	Lihue	HI	1232	6.33333333333333	28500	4500	NA	NA
Pennsylvania Highlands Community College	Johnstown	PA	1239	6.32711997899711	24100	3809	NA	NA
Pensacola State College	Pensacola	FL	9661	6.31428571428571	22100	3500	NA	NA
South Florida Community College	Avon Park	FL	2066	6.31428571428571	22100	3500	NA	NA
Blinn College	Brenham	TX	16356	6.31181242360262	28400	4499.5	NA	NA
City Colleges of Chicago-Richard J Daley College	Chicago	IL	4655	6.28571428571429	22000	3500	NA	NA
Central Texas College	Killeen	TX	19972	6.27306273062731	25500	4065	NA	NA
Georgia Northwestern Technical College	Rome	GA	5838	6.25714285714286	21900	3500	NA	NA
Laramie County Community College	Cheyenne	WY	3692	6.24444444444444	28100	4500	NA	NA
