Name	City	State	Enrollment	E/D Ratio	Earnings	Debt	SAT	Admission %
Professional Business College	New York	NY	847	5.96711995128882	14700	2463.5	NA	NA
Oconee Fall Line Technical College	Sandersville	GA	1628	5.96610169491525	17600	2950	NA	NA
Coastline Community College	Fountain Valley	CA	8687	5.96	29800	5000	NA	NA
Albany College of Pharmacy and Health Sciences	Albany	NY	1077	5.92929292929293	117400	19800	1175	0.6409
TDDS Technical Institute	Lake Milton	OH	219	5.90209238057639	29900	5066	NA	0.85
Macomb Community College	Warren	MI	14394	5.85	23400	4000	NA	NA
City Colleges of Chicago-Wilbur Wright College	Chicago	IL	9542	5.83529411764706	24800	4250	NA	NA
Delta Montrose Technical College	Delta	CO	246	5.83157894736842	27700	4750	NA	NA
Crescent City Bartending School	New Orleans	LA	528	5.79518391108759	21900	3779	NA	NA
AVTEC-Alaska's Institute of Technology	Seward	AK	607	5.78181818181818	31800	5500	NA	0.3654
