School.Name	State	Admin2011	Tuition2011	AdminperDollar
Miles College	Alabama	102	10864.5906683423	0.00938829663387249
Danville Community College	Virginia	35	3728.55351821088	0.00938701827104108
Sacred Heart University	Connecticut	317	33892.5514805369	0.0093530875119284
Cardinal Stritch University	Wisconsin	225	24163.0982166277	0.00931171979614631
Bucknell University	Pennsylvania	423	45432.4246193995	0.00931053104789349
Denmark Technical College	South Carolina	25	2686.62995173306	0.00930533808121706
Renton Technical College	Washington	51	5492.36647418675	0.00928561490564986
Aurora University	Illinois	187	20144.5460914449	0.00928290958511179
Henderson Community College	Kentucky	31	3355.69816638979	0.00923801798102455
George C Wallace State Community College-Hanceville	Alabama	39	4225.69398730566	0.0092292532580824
North Central Michigan College	Michigan	34	3700.5893668243	0.00918772569169908
Wheaton College	Illinois	275	29994.1416353853	0.00916845707214943
Lake Tahoe Community College	California	9	981.852426462198	0.00916634695544698
Oklahoma Panhandle State University	Oklahoma	54	5907.68590774301	0.00914063490227602
Southern Union State Community College	Alabama	31	3392.9837015719	0.00913650129991439
Smith College	Massachusetts	378	41500.8720763083	0.00910824233536504
Dakota County Technical College	Minnesota	52	5718.15110390063	0.00909384852815944
Wytheville Community College	Virginia	34	3759.6247975293	0.00904345561885421
Pratt Institute-Main	New York	365	40371.9489277389	0.00904093088627719
Valley City State University	North Dakota	58	6418.29059787578	0.00903667403579325
Rider University	New Jersey	298	33070.1982879093	0.00901113435745413
Regis University	Colorado	291	32301.7019794336	0.00900881322554704
York College Pennsylvania	Pennsylvania	148	16447.0638525524	0.00899856663334057
University of New England	Maine	282	31589.133973731	0.00892712032670811
Bellingham Technical College	Washington	39	4374.8361280341	0.00891461962428414
Bethune-Cookman University	Florida	129	14489.5732554917	0.00890295371198096
Richard Bland College of the College of William and Mary	Virginia	32	3595.98272645227	0.00889881916412057
Miami University-Middletown	Ohio	44	4964.15472577354	0.00886354322752172
Southern University at Shreveport	Louisiana	55	6210.11302644234	0.00885652157469805
Southern Arkansas University Tech	Arkansas	32	3639.48251749806	0.00879245877570479
Mayville State University	North Dakota	55	6301.25544577638	0.00872841935599762
Bentley University	Massachusetts	346	39696.6664572185	0.00871609711543129
Baker College of Muskegon	Michigan	68	7829.96238824284	0.00868458833239174
